Student_ID,skills,qualification,experience_level,job_role,skills_encoded,qualification_encoded,experience_level_encoded,job_role_encoded
STU0089,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry, ,63,7,1,0
STU0090,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer,93,2,3,4
STU0091,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer,83,2,1,12
STU0092,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer,45,9,4,3
STU0093,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing,55,8,3,18
STU0094,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR,30,16,4,16
STU0095,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer,13,2,3,5
STU0096,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer,96,2,1,19
STU0097,"Penetration Testing, Firewalls, SIEM",  ,Senior,Cybersecurity Engineer,65,1,4,6
STU0098,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager,89,11,3,21
STU0099,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst,73,14,1,7
STU0100,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer,52,2,4,17
STU0101,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer,34,7,3,23
STU0102,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML,80,18,4,2
STU0103,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer,39,9,3,19
STU0104,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry, ,69,2,1,0
STU0105,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer,44,17,4,13
STU0106,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer,6,6,3,9
STU0107,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst,86,10,1,7
STU0108,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer,16,5,3,15
STU0109,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer,2,2,4,10
STU0110,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer,62,7,1,20
STU0111,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist,79,14,3,8
STU0112,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer,92,2,4,4
STU0113,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer,81,2,3,12
STU0114,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer,37,9,4,3
STU0115,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing,23,8,3,18
STU0116,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR,28,16,4,16
STU0117,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer,11,2,3,5
STU0118,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer,98,2,1,19
STU0119,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer,59,13,4,6
STU0120,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager,7,11,3,21
STU0121,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist,74,14,4,8
STU0122,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer,25,4,1,9
STU0123,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer,50,2,3,17
STU0124,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer,48,7,1,23
STU0125,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer,67,2,3,14
STU0126,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer,40,17,4,13
STU0127,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer,20,5,3,15
STU0128,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer,3,2,4,10
STU0129,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer,63,7,1,20
STU0130,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer,93,2,3,4
STU0131,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer,83,2,1,12
STU0132,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer,45,9,4,3
STU0133,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing,55,8,3,18
STU0134,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR,30,16,4,16
STU0135,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer,13,2,3,5
STU0136,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer,96,2,1,19
STU0137,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer,65,13,4,6
STU0138,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager,89,11,3,21
STU0139,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst,73,14,1,7
STU0140,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer,52,2,4,17
STU0141,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer,34,7,3,23
STU0142,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML,80,18,4,2
STU0143,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer,39,9,3,19
STU0144,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer,69,2,1,14
STU0145,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer,44,17,4,13
STU0146,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer,6,6,3,9
STU0147,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst,86,10,1,7
STU0148,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer,16,5,3,15
STU0149,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer,2,2,4,10
STU0150,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer,62,7,1,20
STU0151,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist,79,14,3,8
STU0152,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer,92,2,4,4
STU0153,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer,81,2,3,12
STU0154,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer,37,9,4,3
STU0155,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing,23,8,3,18
STU0156,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR,28,16,4,16
STU0157,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer,11,2,3,5
STU0158,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer,98,2,1,19
STU0159,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer,59,13,4,6
STU0160,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager,7,11,3,21
STU0161,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist,74,14,4,8
STU0162,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer,25,4,1,9
STU0163,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer,50,2,3,17
STU0164,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer,48,7,1,23
STU0165,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer,67,2,3,14
STU0166,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer,40,17,4,13
STU0167,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer,20,5,3,15
STU0168,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer,3,2,4,10
STU0169,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer,63,7,1,20
STU0170,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer,93,2,3,4
STU0171,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer,83,2,1,12
STU0172,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer,45,9,4,3
STU0173,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing,55,8,3,18
STU0174,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR,30,16,4,16
STU0175,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer,13,2,3,5
STU0176,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer,96,2,1,19
STU0177,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer,65,13,4,6
STU0178,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager,89,11,3,21
STU0179,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst,73,14,1,7
STU0180,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer,52,2,4,17
STU0181,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer,34,7,3,23
STU0182,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML,80,18,4,2
STU0183,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer,39,9,3,19
STU0184,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer,69,2,1,14
STU0185,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer,44,17,4,13
STU0186,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer,6,6,3,9
STU0187,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst,86,10,1,7
STU0188,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer,16,5,3,15
STU0189,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer,2,2,4,10
STU0190,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer,62,7,1,20
STU0191,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist,79,14,3,8
STU0192,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer,92,2,4,4
STU0193,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer,81,2,3,12
STU0194,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer,37,9,4,3
STU0195,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing,23,8,3,18
STU0196,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR,28,16,4,16
STU0197,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer,11,2,3,5
STU0198,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer,98,2,1,19
STU0199,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer,59,13,4,6
STU0200,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager,7,11,3,21
STU0201,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist,74,14,4,8
STU0202,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer,25,4,1,9
STU0203,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer,50,2,3,17
STU0204,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer,48,7,1,23
STU0205,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer,67,2,3,14
STU0206,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer,40,17,4,13
STU0207,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer,20,5,3,15
STU0208,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer,3,2,4,10
STU0209,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer,63,7,1,20
STU0210,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer,93,2,3,4
STU0211,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer,83,2,1,12
STU0212,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer,45,9,4,3
STU0213,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing,55,8,3,18
STU0214,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR,30,16,4,16
STU0215,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer,13,2,3,5
STU0216,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer,96,2,1,19
STU0217,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer,65,13,4,6
STU0218,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager,89,11,3,21
STU0219,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst,73,14,1,7
STU0220,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer,52,2,4,17
STU0221,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer,34,7,3,23
STU0222,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML,80,18,4,2
STU0223,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer,39,9,3,19
STU0224,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer,69,2,1,14
STU0225,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer,44,17,4,13
STU0226,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer,6,6,3,9
STU0227,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst,86,10,1,7
STU0228,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer,16,5,3,15
STU0229,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer,2,2,4,10
STU0230,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer,62,7,1,20
STU0231,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist,79,14,3,8
STU0232,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer,92,2,4,4
STU0233,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer,81,2,3,12
STU0234,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer,37,9,4,3
STU0235,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing,23,8,3,18
STU0236,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR,28,16,4,16
STU0237,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer,11,2,3,5
STU0238,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer,98,2,1,19
STU0239,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer,59,13,4,6
STU0240,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager,7,11,3,21
STU0241,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist,74,14,4,8
STU0242,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer,25,4,1,9
STU0243,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer,50,2,3,17
STU0244,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer,48,7,1,23
STU0245,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer,67,2,3,14
STU0246,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer,40,17,4,13
STU0247,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer,20,5,3,15
