S. No.,Degree,Major,GPA,Year of Graduation,Age,Gender,Internships,Previous Job Title,Industry,Skill1,Skill2,SoftSkill,Certification,JobRole,Work Preference
14,B.Sc,Electronics,8.12,2023.0,31.0,Female,3.0,Junior Developer,Manufacturing,Leadership,Excel,Teamwork,CCNA,Mechanical Engineer,Remote
15,MBA,Humanities,7.33,2015.0,23.0,Other,2.0,Analyst,Manufacturing,Machine Learning,Data Analy,Communication,Six Sigma,Business Analyst,Hybrid
16,B.Tech,Marketing,5.92,2012.0,27.0,Other,0.0,Assistant,Education,Communication,Marketing,Adaptability,None,Mechanical Engineer,Remote
17,B.Tech,Electronics,9.76,2021.0,40.0,Male,3.0,Assistant,Research,Leadership,Leadership,Problem-Solving,Azure,Researcher,In-office
18,B.Com,Computer,9.91,2005.0,41.0,Female,1.0,Consultant,Education,SQL,Java,Problem-Solving,Six Sigma,Data Analyst,In-office
19,MBA,Computer,8.49,2007.0,30.0,Male,5.0,Intern,Consulting,SQL,Python,Communication,Azure,Software Engineer,In-office
20,BBA,Marketing,6.65,2020.0,40.0,Female,5.0,Junior Developer,Education,Excel,Marketing,Leadership,Data Science,Project Manager,Remote
21,BA,Management,9.75,2010.0,21.0,Other,4.0,Intern,Consulting,Communication,Machine Learning,Communication,PMP,Business Analyst,Remote
22,MBA,Chemistry,9.27,2009.0,31.0,Male,2.0,Analyst,IT,Machine Learning,Machine Learning,Problem-Solving,Machine Learning,Teacher,Hybrid
23,MBA,Mathematics,8.7,2005.0,36.0,Male,1.0,Assistant,Finance,Marketing,Java,Teamwork,Data Science,Teacher,Remote
24,M.Sc,Physics,7.65,2010.0,45.0,Male,3.0,Consultant,Manufacturing,Machine Learning,Python,Teamwork,Machine Learning,Mechanical Engineer,Remote
25,BBA,Management,8.67,2020.0,32.0,Female,0.0,Intern,Finance,Machine Learning,Machine Learning,Communication,Google Cloud,Mechanical Engineer,Remote
26,MBA,Management,8.43,2012.0,39.0,Other,0.0,Consultant,Finance,Communication,Leadership,Adaptability,Scrum,Data Analyst,In-office
27,B.Com,Marketing,6.54,2005.0,25.0,Female,2.0,Consultant,Research,Machine Learning,Python,Leadership,None,Accountant,In-office
28,PhD,Mathematics,5.16,2012.0,42.0,Male,4.0,Analyst,Manufacturing,SQL,Machine Learning,Adaptability,AWS Certified,Business Analyst,Remote
29,M.Tech,Electronics,8.7,2023.0,36.0,Other,2.0,Junior Developer,Manufacturing,Marketing,Marketing,Leadership,None,Teacher,Hybrid
30,MBA,Humanities,8.71,2005.0,41.0,Female,4.0,Assistant,Finance,Marketing,Machine Learning,Problem-Solving,AWS Certified,Mechanical Engineer,Remote
31,B.Sc,Humanities,8.75,2022.0,21.0,Female,4.0,Assistant,Manufacturing,Java,Java,Teamwork,Google Cloud,Data Analyst,Remote
32,PhD,Mathematics,5.0,2020.0,31.0,Other,4.0,Assistant,Consulting,Data Analy,Data Analy,Teamwork,Machine Learning,Teacher,In-office
33,B.Tech,Electronics,7.67,2018.0,40.0,Female,2.0,Intern,Research,SQL,SQL,Leadership,Scrum,Data Analyst,Remote
34,M.Sc,Physics,5.53,2011.0,23.0,Female,2.0,Analyst,Manufacturing,Leadership,SQL,Problem-Solving,Six Sigma,Software Engineer,Remote
35,B.Sc,Computer,7.7,2022.0,25.0,Male,1.0,Analyst,Consulting,Data Analy,Leadership,Communication,Machine Learning,Business Analyst,Hybrid
36,MBA,Mathematics,9.73,2006.0,37.0,Male,5.0,Consultant,Consulting,SQL,Machine Learning,Adaptability,Scrum,Accountant,Hybrid
37,M.Tech,Management,9.84,2011.0,43.0,Female,0.0,Junior Developer,Manufacturing,Leadership,Communication,Communication,CCNA,Mechanical Engineer,Remote
38,B.Sc,Humanities,6.99,2022.0,40.0,Other,4.0,Engineer,Finance,Python,Leadership,Teamwork,CCNA,Project Manager,In-office
39,M.Tech,Physics,6.51,2012.0,36.0,Male,1.0,Analyst,Healthcare,Java,SQL,Leadership,Google Cloud,Mechanical Engineer,Hybrid
40,PhD,Physics,7.66,2005.0,30.0,Other,1.0,Analyst,Manufacturing,Data Analy,Leadership,Teamwork,Google Cloud,Project Manager,In-office
41,MBA,Management,6.69,2014.0,33.0,Female,1.0,Engineer,Manufacturing,SQL,Marketing,Teamwork,None,HR Manager,Hybrid
42,B.Com,Computer,7.86,2005.0,25.0,Female,4.0,Analyst,Education,Leadership,Communication,Communication,None,Researcher,In-office
43,M.Tech,Mathematics,8.2,2015.0,32.0,Male,1.0,Analyst,Manufacturing,Python,Machine Learning,Communication,Data Science,Accountant,Remote
44,M.Tech,Electronics,8.23,2021.0,22.0,Female,5.0,Assistant,Research,Leadership,Marketing,Communication,Scrum,Project Manager,Hybrid
45,MBA,Electronics,8.5,2007.0,43.0,Other,4.0,Junior Developer,Research,Python,Java,Communication,Six Sigma,Accountant,Hybrid
46,MBA,Humanities,8.57,2006.0,34.0,Male,0.0,Intern,Consulting,Excel,Communication,Adaptability,Data Science,Accountant,Hybrid
47,BA,Humanities,5.35,2021.0,30.0,Female,4.0,Junior Developer,Manufacturing,Python,Java,Problem-Solving,Six Sigma,Software Engineer,Remote
48,PhD,Humanities,8.8,2014.0,25.0,Male,3.0,Junior Developer,Finance,Python,Excel,Problem-Solving,PMP,Project Manager,Hybrid
49,BBA,Physics,9.69,2007.0,37.0,Male,1.0,Assistant,Manufacturing,SQL,Java,Teamwork,AWS Certified,Data Analyst,Remote
50,PhD,Computer,6.98,2022.0,38.0,Male,2.0,Analyst,Healthcare,Machine Learning,Excel,Teamwork,CCNA,Teacher,In-office
51,B.Tech,Electronics,7.5,2017.0,38.0,Male,2.0,Consultant,IT,Marketing,Python,Leadership,Google Cloud,Researcher,In-office
52,B.Tech,Marketing,8.91,2007.0,38.0,Other,2.0,Assistant,Manufacturing,Excel,Marketing,Adaptability,AWS Certified,Software Engineer,Remote
53,B.Sc,Management,6.88,2005.0,44.0,Other,2.0,Assistant,Manufacturing,Java,Java,Teamwork,CCNA,Mechanical Engineer,Remote
54,BBA,Electronics,8.76,2019.0,29.0,Male,2.0,Assistant,Manufacturing,Excel,Python,Adaptability,CCNA,Mechanical Engineer,Hybrid
55,M.Sc,Computer,5.14,2017.0,37.0,Male,2.0,Assistant,Manufacturing,Leadership,Communication,Communication,None,Teacher,Remote
56,MBA,Chemistry,9.07,2007.0,34.0,Male,3.0,Assistant,IT,Marketing,SQL,Adaptability,PMP,HR Manager,In-office
57,MBA,Mathematics,6.64,2023.0,35.0,Male,1.0,Engineer,Consulting,Machine Learning,Communication,Teamwork,AWS Certified,Accountant,Remote
58,B.Tech,Mathematics,6.93,2007.0,28.0,Male,4.0,Intern,Consulting,Machine Learning,Python,Adaptability,Machine Learning,Project Manager,In-office
59,MBA,Mathematics,8.69,2013.0,34.0,Other,1.0,Assistant,IT,Data Analy,Java,Communication,None,Mechanical Engineer,Hybrid
60,M.Sc,Chemistry,7.67,2014.0,37.0,Male,1.0,Junior Developer,Healthcare,Excel,Excel,Communication,AWS Certified,Project Manager,In-office
61,MBA,Physics,8.36,2005.0,28.0,Other,0.0,Assistant,Finance,SQL,Communication,Leadership,None,Business Analyst,In-office
62,MBA,Physics,5.73,2017.0,40.0,Other,1.0,Intern,IT,Excel,Java,Adaptability,Machine Learning,Teacher,In-office
63,M.Sc,Humanities,5.67,2011.0,44.0,Male,1.0,Consultant,Healthcare,Leadership,Java,Communication,CCNA,Mechanical Engineer,In-office
64,B.Sc,Physics,7.51,2006.0,40.0,Female,4.0,Consultant,Consulting,Communication,Leadership,Communication,Six Sigma,Accountant,Hybrid
65,M.Sc,Electronics,5.37,2023.0,35.0,Male,1.0,Junior Developer,Finance,Leadership,SQL,Adaptability,PMP,Software Engineer,Remote
66,BA,Electronics,6.09,2018.0,45.0,Female,2.0,Intern,Consulting,Leadership,Data Analy,Adaptability,PMP,Teacher,Hybrid
67,MBA,Marketing,8.5,2008.0,22.0,Male,2.0,Consultant,Research,Java,Excel,Problem-Solving,Data Science,HR Manager,Hybrid
68,PhD,Mathematics,7.14,2017.0,39.0,Male,1.0,Analyst,Education,Java,Excel,Leadership,AWS Certified,Software Engineer,Hybrid
69,B.Com,Humanities,8.77,2024.0,34.0,Other,4.0,Assistant,Research,Machine Learning,Leadership,Leadership,Data Science,Project Manager,Remote
70,B.Com,Physics,5.15,2008.0,32.0,Male,2.0,Consultant,Research,Communication,Leadership,Leadership,Six Sigma,Teacher,In-office
71,B.Tech,Mathematics,5.57,2016.0,30.0,Male,2.0,Engineer,Education,Marketing,Machine Learning,Communication,CCNA,Mechanical Engineer,Remote
72,MBA,Marketing,9.18,2015.0,44.0,Other,2.0,Assistant,Manufacturing,SQL,Marketing,Teamwork,Azure,Mechanical Engineer,Hybrid
73,M.Tech,Electronics,5.07,2015.0,45.0,Other,1.0,Intern,Consulting,Leadership,Excel,Communication,Data Science,Software Engineer,Hybrid
74,B.Sc,Humanities,6.28,2015.0,29.0,Male,2.0,Junior Developer,Manufacturing,Java,Python,Leadership,Machine Learning,HR Manager,Remote
75,PhD,Humanities,9.08,2015.0,33.0,Other,0.0,Assistant,IT,Machine Learning,Machine Learning,Problem-Solving,Scrum,Teacher,In-office
76,MBA,Physics,7.17,2015.0,35.0,Other,0.0,Junior Developer,Healthcare,Java,Communication,Teamwork,PMP,Mechanical Engineer,Hybrid
77,M.Sc,Computer,6.3,2015.0,43.0,Other,1.0,Engineer,Research,Java,Python,Communication,Google Cloud,Data Analyst,Hybrid
78,PhD,Marketing,9.82,2016.0,38.0,Other,0.0,Analyst,IT,Communication,Communication,Communication,Azure,Accountant,Hybrid
79,M.Tech,Physics,6.3,2019.0,30.0,Female,3.0,Analyst,Education,Marketing,Data Analy,Adaptability,Azure,Researcher,Hybrid
80,B.Sc,Electronics,9.84,2011.0,35.0,Other,0.0,Engineer,Education,Excel,Python,Adaptability,Scrum,Accountant,Remote
81,B.Tech,Computer,5.11,2008.0,32.0,Female,2.0,Assistant,Research,Excel,SQL,Problem-Solving,CCNA,Project Manager,Remote
82,MBA,Chemistry,8.7,2020.0,28.0,Female,4.0,Junior Developer,Education,Communication,Python,Problem-Solving,CCNA,Researcher,In-office
83,B.Sc,Physics,5.1,2019.0,40.0,Other,5.0,Assistant,Research,Data Analy,Communication,Problem-Solving,Six Sigma,Software Engineer,Hybrid
84,B.Sc,Mathematics,6.45,2011.0,37.0,Male,1.0,Assistant,Consulting,Python,Java,Adaptability,CCNA,Teacher,Remote
85,BBA,Marketing,10.0,2012.0,36.0,Male,4.0,Consultant,IT,Machine Learning,Java,Adaptability,None,Mechanical Engineer,Remote
86,B.Sc,Physics,9.16,2016.0,28.0,Female,5.0,Junior Developer,Manufacturing,Data Analy,Data Analy,Problem-Solving,None,Data Analyst,Remote
87,PhD,Electronics,9.86,2024.0,29.0,Male,4.0,Intern,Manufacturing,Python,Machine Learning,Communication,Data Science,Data Analyst,In-office
88,BBA,Humanities,9.26,2011.0,33.0,Female,2.0,Assistant,Manufacturing,SQL,Data Analy,Adaptability,AWS Certified,Software Engineer,In-office
89,BBA,Mathematics,8.32,2012.0,29.0,Female,4.0,Junior Developer,Research,Java,Java,Communication,Machine Learning,Software Engineer,In-office
90,B.Sc,Marketing,8.49,2005.0,36.0,Female,4.0,Engineer,Consulting,Excel,Data Analy,Adaptability,Machine Learning,Software Engineer,In-office
91,B.Com,Electronics,7.18,2022.0,44.0,Male,0.0,Junior Developer,Consulting,Machine Learning,Marketing,Communication,CCNA,Accountant,Hybrid
92,B.Tech,Physics,8.68,2021.0,39.0,Female,5.0,Consultant,IT,Communication,Java,Problem-Solving,CCNA,Mechanical Engineer,Remote
93,M.Tech,Electronics,7.92,2009.0,28.0,Other,1.0,Assistant,Consulting,SQL,Leadership,Problem-Solving,Scrum,Data Analyst,In-office
94,BBA,Computer,5.93,2016.0,39.0,Male,3.0,Consultant,Research,Leadership,Leadership,Problem-Solving,Azure,Software Engineer,In-office
95,BA,Physics,7.16,2015.0,24.0,Other,0.0,Engineer,IT,Python,Excel,Teamwork,CCNA,Mechanical Engineer,Hybrid
96,PhD,Electronics,5.52,2023.0,33.0,Other,1.0,Assistant,IT,Data Analy,SQL,Communication,Six Sigma,HR Manager,Remote
97,MBA,Physics,7.67,2018.0,22.0,Female,1.0,Assistant,Consulting,Machine Learning,Data Analy,Communication,Scrum,Business Analyst,Remote
98,BBA,Humanities,7.19,2022.0,38.0,Other,3.0,Analyst,Education,Marketing,Leadership,Leadership,PMP,Data Analyst,Remote
99,MBA,Physics,8.66,2013.0,27.0,Other,4.0,Consultant,Healthcare,Java,Python,Leadership,PMP,Business Analyst,In-office
100,BA,Humanities,7.22,2023.0,44.0,Female,2.0,Assistant,Consulting,SQL,Python,Teamwork,Azure,Mechanical Engineer,Remote
101,B.Tech,Chemistry,9.47,2018.0,23.0,Other,3.0,Consultant,Healthcare,Communication,Communication,Communication,Machine Learning,Accountant,Hybrid
102,M.Tech,Marketing,8.59,2010.0,44.0,Other,4.0,Assistant,Research,Excel,SQL,Communication,Six Sigma,Business Analyst,Hybrid
103,B.Tech,Computer,5.63,2016.0,33.0,Female,4.0,Analyst,Finance,Data Analy,Java,Problem-Solving,PMP,HR Manager,Hybrid
104,B.Com,Physics,9.71,2022.0,39.0,Other,3.0,Consultant,Manufacturing,Python,Leadership,Adaptability,AWS Certified,Project Manager,Hybrid
105,PhD,Electronics,9.29,2014.0,39.0,Male,1.0,Engineer,IT,Java,Machine Learning,Communication,Google Cloud,Data Analyst,Remote
106,M.Tech,Chemistry,5.13,2008.0,44.0,Male,2.0,Intern,Finance,Java,Marketing,Communication,Six Sigma,Teacher,Hybrid
107,MBA,Humanities,7.9,2008.0,29.0,Male,2.0,Consultant,IT,Machine Learning,SQL,Problem-Solving,None,Mechanical Engineer,Remote
108,B.Com,Physics,8.95,2008.0,39.0,Other,2.0,Analyst,Education,Marketing,Machine Learning,Problem-Solving,Azure,HR Manager,In-office
109,B.Com,Electronics,5.68,2022.0,36.0,Other,2.0,Engineer,Education,SQL,Leadership,Communication,Machine Learning,Business Analyst,Remote
110,BA,Electronics,6.82,2024.0,32.0,Other,4.0,Engineer,Research,Machine Learning,Excel,Problem-Solving,Google Cloud,Teacher,Hybrid
111,M.Sc,Chemistry,5.36,2019.0,38.0,Other,4.0,Consultant,Healthcare,Excel,Excel,Leadership,Google Cloud,Teacher,Hybrid
112,B.Com,Marketing,9.2,2009.0,35.0,Other,5.0,Assistant,IT,SQL,Marketing,Teamwork,AWS Certified,Researcher,Hybrid
113,M.Tech,Computer,9.61,2010.0,26.0,Male,0.0,Assistant,Finance,Communication,Communication,Problem-Solving,None,Mechanical Engineer,Hybrid
114,B.Com,Humanities,8.14,2005.0,28.0,Other,2.0,Intern,Healthcare,SQL,Excel,Communication,Six Sigma,HR Manager,Remote
115,M.Sc,Electronics,7.1,2019.0,34.0,Other,2.0,Junior Developer,IT,SQL,Marketing,Adaptability,PMP,Teacher,In-office
116,B.Com,Marketing,7.56,2015.0,37.0,Male,4.0,Intern,Healthcare,Java,Excel,Leadership,Azure,Data Analyst,Remote
117,BA,Electronics,6.6,2014.0,26.0,Male,1.0,Consultant,Education,Marketing,SQL,Teamwork,PMP,Mechanical Engineer,In-office
118,PhD,Electronics,7.61,2018.0,31.0,Female,1.0,Intern,Manufacturing,Data Analy,Leadership,Adaptability,Machine Learning,Accountant,In-office
119,MBA,Management,8.97,2016.0,39.0,Male,4.0,Consultant,IT,Leadership,Java,Problem-Solving,AWS Certified,Researcher,Remote
120,MBA,Mathematics,5.51,2005.0,39.0,Female,5.0,Junior Developer,Consulting,Excel,Machine Learning,Adaptability,Data Science,Data Analyst,In-office
121,MBA,Computer,9.3,2023.0,33.0,Other,4.0,Consultant,Consulting,Leadership,SQL,Leadership,None,Teacher,Hybrid
122,MBA,Marketing,8.79,2011.0,38.0,Male,0.0,Junior Developer,Research,Data Analy,Marketing,Problem-Solving,None,Software Engineer,In-office
123,MBA,Humanities,6.85,2009.0,40.0,Male,3.0,Analyst,Finance,Java,Machine Learning,Communication,PMP,Researcher,In-office
124,M.Tech,Mathematics,9.61,2018.0,43.0,Female,4.0,Engineer,Manufacturing,SQL,Python,Teamwork,CCNA,Accountant,Hybrid
125,M.Sc,Mathematics,7.88,2021.0,23.0,Other,4.0,Analyst,Research,Machine Learning,SQL,Adaptability,Data Science,Teacher,In-office
126,M.Sc,Management,9.53,2005.0,34.0,Other,4.0,Engineer,IT,Excel,Machine Learning,Problem-Solving,AWS Certified,Mechanical Engineer,In-office
127,B.Sc,Physics,6.03,2011.0,42.0,Female,1.0,Intern,Research,Marketing,Marketing,Communication,Google Cloud,Business Analyst,In-office
128,B.Sc,Physics,9.35,2022.0,40.0,Other,5.0,Junior Developer,Finance,Leadership,Java,Adaptability,CCNA,Accountant,Hybrid
129,BA,Electronics,6.87,2022.0,44.0,Male,4.0,Intern,IT,Machine Learning,Data Analy,Problem-Solving,None,HR Manager,In-office
130,B.Tech,Chemistry,8.8,2024.0,21.0,Female,1.0,Engineer,IT,Leadership,Communication,Leadership,CCNA,Teacher,Remote
131,PhD,Computer,5.83,2023.0,27.0,Female,4.0,Consultant,Healthcare,Marketing,Java,Adaptability,Machine Learning,Project Manager,In-office
132,B.Com,Humanities,6.46,2010.0,23.0,Male,5.0,Junior Developer,Manufacturing,SQL,Python,Teamwork,Scrum,Researcher,Remote
133,B.Com,Humanities,8.26,2006.0,24.0,Female,1.0,Engineer,Education,Communication,Data Analy,Leadership,AWS Certified,Software Engineer,Hybrid
134,B.Com,Management,9.7,2011.0,41.0,Female,5.0,Intern,Manufacturing,Communication,Python,Leadership,Machine Learning,Teacher,Hybrid
135,MBA,Management,5.15,2011.0,38.0,Male,3.0,Assistant,IT,Communication,Leadership,Teamwork,Six Sigma,Project Manager,Hybrid
136,B.Tech,Marketing,8.8,2008.0,37.0,Female,3.0,Analyst,Finance,Leadership,Communication,Teamwork,Google Cloud,HR Manager,Hybrid
137,B.Sc,Chemistry,9.97,2015.0,36.0,Female,0.0,Assistant,Consulting,Communication,Python,Teamwork,Six Sigma,Teacher,In-office
138,M.Sc,Mathematics,7.53,2022.0,30.0,Other,5.0,Analyst,Research,Marketing,Data Analy,Teamwork,AWS Certified,Mechanical Engineer,In-office
139,PhD,Chemistry,8.02,2009.0,42.0,Female,0.0,Analyst,Healthcare,Python,Communication,Teamwork,None,Mechanical Engineer,Hybrid
140,B.Tech,Management,7.26,2015.0,45.0,Male,2.0,Assistant,Manufacturing,Data Analy,Java,Communication,Google Cloud,HR Manager,In-office
141,B.Com,Humanities,7.29,2014.0,32.0,Other,2.0,Assistant,Manufacturing,Java,SQL,Leadership,CCNA,Project Manager,Remote
142,M.Tech,Electronics,7.56,2005.0,41.0,Female,2.0,Assistant,Manufacturing,Excel,Excel,Teamwork,PMP,Mechanical Engineer,Hybrid
143,B.Sc,Humanities,7.41,2005.0,28.0,Male,4.0,Analyst,Consulting,Python,Leadership,Communication,Google Cloud,Business Analyst,Hybrid
144,B.Com,Humanities,6.41,2008.0,39.0,Other,1.0,Engineer,Healthcare,Python,Data Analy,Communication,Scrum,Data Analyst,In-office
145,B.Com,Computer,5.67,2017.0,33.0,Other,0.0,Analyst,Healthcare,Machine Learning,Excel,Teamwork,PMP,Researcher,In-office
146,M.Sc,Management,9.39,2013.0,44.0,Other,4.0,Analyst,Research,Communication,Data Analy,Communication,AWS Certified,HR Manager,Hybrid
147,B.Com,Chemistry,7.77,2010.0,27.0,Other,4.0,Analyst,Research,Machine Learning,Communication,Communication,Machine Learning,Researcher,Remote
148,M.Tech,Management,6.63,2011.0,23.0,Male,0.0,Junior Developer,Manufacturing,Leadership,Data Analy,Leadership,PMP,Teacher,In-office
149,B.Tech,Computer,8.15,2005.0,40.0,Female,2.0,Consultant,Finance,Python,Leadership,Adaptability,None,Accountant,Remote
150,B.Tech,Electronics,9.88,2019.0,32.0,Male,4.0,Intern,Manufacturing,Java,Leadership,Leadership,Google Cloud,Data Analyst,Remote
151,M.Tech,Physics,5.79,2014.0,30.0,Male,1.0,Consultant,Healthcare,Excel,Data Analy,Communication,Machine Learning,Business Analyst,Remote
152,MBA,Physics,8.68,2022.0,26.0,Other,0.0,Intern,Consulting,Data Analy,Leadership,Adaptability,PMP,Software Engineer,Remote
153,M.Sc,Marketing,5.18,2013.0,26.0,Other,3.0,Intern,Manufacturing,Leadership,Leadership,Communication,Google Cloud,Business Analyst,Remote
154,BA,Mathematics,6.61,2014.0,32.0,Other,3.0,Engineer,Consulting,Leadership,Java,Adaptability,Machine Learning,Mechanical Engineer,Remote
155,M.Sc,Marketing,9.93,2018.0,25.0,Female,1.0,Assistant,Education,Machine Learning,Python,Leadership,PMP,Accountant,Hybrid
156,M.Sc,Mathematics,6.05,2021.0,24.0,Male,2.0,Junior Developer,Manufacturing,Java,Python,Problem-Solving,None,Accountant,In-office
157,B.Sc,Humanities,5.27,2008.0,36.0,Female,4.0,Junior Developer,Research,Communication,Data Analy,Communication,Data Science,Software Engineer,In-office
158,MBA,Marketing,8.48,2014.0,33.0,Female,0.0,Analyst,Manufacturing,Communication,SQL,Teamwork,CCNA,Researcher,Remote
159,M.Sc,Management,7.08,2006.0,22.0,Male,3.0,Assistant,Consulting,Communication,Java,Teamwork,Azure,Project Manager,In-office
160,B.Tech,Chemistry,5.56,2020.0,39.0,Other,1.0,Intern,Finance,Data Analy,Data Analy,Teamwork,CCNA,Teacher,Remote
161,BA,Electronics,5.37,2023.0,32.0,Other,2.0,Intern,Research,Python,Leadership,Problem-Solving,Scrum,Accountant,In-office
162,BA,Electronics,8.07,2018.0,32.0,Female,1.0,Intern,Healthcare,Machine Learning,Data Analy,Problem-Solving,None,Data Analyst,Hybrid
163,B.Tech,Electronics,9.13,2013.0,23.0,Female,3.0,Consultant,Manufacturing,Communication,Data Analy,Communication,PMP,Software Engineer,Remote
164,B.Com,Mathematics,8.23,2015.0,29.0,Male,3.0,Engineer,Education,Marketing,Python,Teamwork,None,Project Manager,In-office
165,M.Tech,Physics,6.18,2023.0,29.0,Other,4.0,Consultant,Manufacturing,Python,Communication,Leadership,Six Sigma,Data Analyst,Hybrid
166,M.Sc,Management,9.19,2017.0,37.0,Other,0.0,Intern,Manufacturing,SQL,Python,Adaptability,Google Cloud,Researcher,In-office
167,BA,Marketing,8.86,2010.0,22.0,Other,2.0,Assistant,Research,Data Analy,Communication,Problem-Solving,None,Teacher,In-office
168,PhD,Humanities,6.61,2020.0,44.0,Male,2.0,Engineer,Education,Java,Leadership,Teamwork,Data Science,HR Manager,In-office
169,B.Com,Marketing,5.74,2006.0,35.0,Female,2.0,Engineer,IT,Leadership,Python,Leadership,CCNA,Researcher,Remote
170,BBA,Chemistry,6.22,2024.0,29.0,Male,2.0,Analyst,IT,Marketing,Machine Learning,Leadership,Google Cloud,Business Analyst,Hybrid
171,MBA,Physics,8.84,2010.0,23.0,Other,3.0,Assistant,Finance,Communication,Java,Leadership,PMP,Researcher,Remote
172,PhD,Physics,9.36,2017.0,26.0,Other,0.0,Junior Developer,Manufacturing,Marketing,Excel,Communication,Data Science,Business Analyst,In-office
173,M.Tech,Marketing,8.57,2021.0,30.0,Female,5.0,Engineer,Manufacturing,Machine Learning,Data Analy,Leadership,None,Researcher,In-office
174,BBA,Mathematics,5.4,2013.0,34.0,Female,2.0,Engineer,Research,Excel,Excel,Problem-Solving,Six Sigma,Software Engineer,In-office
175,B.Com,Computer,7.12,2010.0,38.0,Female,4.0,Assistant,Research,Data Analy,Leadership,Adaptability,Data Science,Mechanical Engineer,In-office
176,B.Sc,Computer,8.63,2011.0,28.0,Male,3.0,Intern,Healthcare,Java,Java,Problem-Solving,Data Science,Mechanical Engineer,In-office
177,M.Sc,Humanities,6.51,2024.0,42.0,Female,5.0,Analyst,Education,Marketing,Marketing,Leadership,None,Accountant,Remote
178,B.Com,Humanities,9.13,2022.0,35.0,Other,5.0,Analyst,Education,SQL,Communication,Problem-Solving,Scrum,Teacher,In-office
179,B.Com,Humanities,6.72,2012.0,32.0,Female,5.0,Intern,Research,SQL,Excel,Communication,Machine Learning,Data Analyst,Hybrid
180,BA,Electronics,9.33,2013.0,27.0,Other,2.0,Consultant,Manufacturing,Python,Python,Problem-Solving,Google Cloud,Business Analyst,In-office
181,B.Sc,Marketing,9.91,2019.0,27.0,Other,4.0,Assistant,Manufacturing,Machine Learning,Java,Teamwork,Scrum,Data Analyst,In-office
182,MBA,Humanities,9.2,2021.0,36.0,Other,5.0,Engineer,Finance,Leadership,Python,Leadership,Scrum,Mechanical Engineer,Remote
183,BA,Management,9.94,2015.0,32.0,Female,4.0,Consultant,Healthcare,Excel,Python,Leadership,Machine Learning,HR Manager,In-office
184,B.Sc,Management,7.04,2016.0,33.0,Other,1.0,Assistant,Research,Leadership,Communication,Communication,AWS Certified,Software Engineer,Remote
185,B.Com,Physics,6.66,2019.0,34.0,Other,4.0,Engineer,Healthcare,Java,Marketing,Adaptability,AWS Certified,Project Manager,In-office
186,PhD,Physics,7.35,2024.0,32.0,Other,4.0,Engineer,IT,Communication,Java,Problem-Solving,PMP,Researcher,Remote
187,BA,Physics,9.48,2013.0,27.0,Other,5.0,Engineer,Education,Communication,Python,Teamwork,Scrum,Business Analyst,In-office
188,B.Tech,Humanities,9.7,2005.0,26.0,Female,1.0,Engineer,Consulting,Communication,Marketing,Problem-Solving,Six Sigma,Data Analyst,Hybrid
189,MBA,Management,5.52,2014.0,27.0,Female,5.0,Junior Developer,Education,Python,Marketing,Problem-Solving,PMP,HR Manager,Remote
190,BA,Marketing,6.01,2014.0,33.0,Female,2.0,Assistant,Finance,Data Analy,SQL,Problem-Solving,AWS Certified,Mechanical Engineer,In-office
